Frequently Bought Together,Frequentemente Comprados Juntos
Quantity Products, Quantidade de Produtos
"Quantity of products to display on frontend. To do not apply this filter, just leave it empty.","Quantidade dos produtos que serão exibidos no frontend. Para não aplicar o filtro, apenas deixe vazio."
Module Enable,Habilitar Módulo
Frequently Bought Together:,Frequentemente Comprados Juntos:
General Configuration,Configurações Gerais
Custom Modules,Módulos Personalizados
Show Logged User,Exibir Usuário Logado
Show block only when the user is logged in.,Exibir bloco apenas quando o usuário estiver logados.
"Show button add to wishlist in frequently bought together list products.","Exibir botão de adicionar a lista de desejos nos blocos de produtos comprados frequentemente juntos."
"Show quantity products to add to cart in frequently bought together list products","Exibe a quantidade de produtos para adicionar no carrinho no bloco de frequentemente comprados juntos."
Qty,Qtd
